Date,Station,Grid
1/01/2001,120.7,228.8
1/02/2001,126.4,152.3
1/03/2001,68.2,83.9
1/04/2001,12.1,40.6
1/05/2001,3,6.4
1/06/2001,0.1,6.2
1/07/2001,3.1,3.4
1/08/2001,10.5,10.4
1/09/2001,11.5,16.8
1/10/2001,24.1,40.6
1/11/2001,29.1,26.1
1/12/2001,55,69.3
1/01/2002,53.9,57.6
1/02/2002,66.3,129.6
1/03/2002,44.6,58.2
1/04/2002,26,50.4
1/05/2002,1.6,11.5
1/06/2002,2.4,5.2
1/07/2002,26.6,8.2
1/08/2002,1.7,3.5
1/09/2002,4.4,2.1
1/10/2002,49.5,53.7
1/11/2002,35,35.8
1/12/2002,17.7,61.5
1/01/2003,71.8,88.2
1/02/2003,73.1,127.2
1/03/2003,82.1,96.6
1/04/2003,13.1,7.8
1/05/2003,2.6,9.6
1/06/2003,0,7.2
1/07/2003,6,10.6
1/08/2003,3.3,3.2
1/09/2003,10,14
1/10/2003,16.7,22.2
1/11/2003,15.8,23.2
1/12/2003,141.6,136.7
1/01/2004,78.8,98.9
1/02/2004,103.4,104
1/03/2004,26.7,31.1
1/04/2004,18.3,26.1
1/05/2004,1.3,6.5
1/06/2004,0,2.7
1/07/2004,1.2,9.7
1/08/2004,7.6,14.6
1/09/2004,5.7,20.8
1/10/2004,2.8,12.7
1/11/2004,22.2,22
1/12/2004,76.4,89.7
1/01/2005,85.4,85.9
1/02/2005,94.6,133.5
1/03/2005,43.8,38.8
1/04/2005,22.5,51.1
1/05/2005,0,1.9
1/06/2005,0,2.3
1/07/2005,0,1.7
1/08/2005,0,5
1/09/2005,16.1,40.9
1/10/2005,51.1,54.2
1/11/2005,36.4,53.7
1/12/2005,84.9,116.2
1/01/2006,149.5,192.2
1/02/2006,59.4,74.2
1/03/2006,34.6,85.9
1/04/2006,6.1,25.2
1/05/2006,4.5,19.6
1/06/2006,0,5.4
1/07/2006,0,1.8
1/08/2006,0,2.8
1/09/2006,3.8,3.7
1/10/2006,33.2,32
1/11/2006,31.1,50.1
1/12/2006,68,97.7
1/01/2007,72.9,133.5
1/02/2007,63.4,86.5
1/03/2007,78.1,94.6
1/04/2007,18.5,25.2
1/05/2007,0.4,5.9
1/06/2007,0,3.3
1/07/2007,0.7,0.3
1/08/2007,1.3,3.8
1/09/2007,15,18.6
1/10/2007,26.1,36.5
1/11/2007,55.8,37.6
1/12/2007,132.8,119.2
1/01/2008,178.2,153.7
1/02/2008,68,73
1/03/2008,42.8,88.6
1/04/2008,17,13.8
1/05/2008,0,3.4
1/06/2008,0,4.9
1/07/2008,0,1.4
1/08/2008,0,6.9
1/09/2008,12.7,4.7
1/10/2008,40.3,30.7
1/11/2008,41.2,35.4
1/12/2008,82.8,84.7
1/01/2009,112.3,125.4
1/02/2009,108.1,110.1
1/03/2009,111.5,101
1/04/2009,24.5,26.4
1/05/2009,11.9,4.9
1/06/2009,0,3.2
1/07/2009,0,4.4
1/08/2009,0,3.3
1/09/2009,3.3,15.2
1/10/2009,9.5,9.9
1/11/2009,77.2,83.4
1/12/2009,106.6,120.3
1/01/2010,96.6,64.7
1/02/2010,128.7,131.1
1/03/2010,47.2,58.6
1/04/2010,17.8,17.3
1/05/2010,2.5,7.6
1/06/2010,0,1.1
1/07/2010,1.1,5.7
1/08/2010,5.1,4
1/09/2010,3.7,3.7
1/10/2010,29.6,21.1
1/11/2010,7.7,19.3
1/12/2010,57,95
1/01/2011,83.4,53.4
1/02/2011,187.2,192.7
1/03/2011,77.2,74.7
1/04/2011,14.5,8
1/05/2011,8.8,9.9
1/06/2011,0,2.3
1/07/2011,0,3.3
1/08/2011,0,2
1/09/2011,7.7,8.7
1/10/2011,9.9,13.2
1/11/2011,45,28
1/12/2011,99,97
1/01/2012,105.2,95.2
1/02/2012,156.6,137.6
1/03/2012,76.2,70.2
1/04/2012,28.8,31.5
1/05/2012,0.9,4.6
1/06/2012,0,5.5
1/07/2012,0,2.6
1/08/2012,0.4,2.1
1/09/2012,1.3,3.2
1/10/2012,33,21.3
1/11/2012,37.2,53.1
1/12/2012,63.4,83.8
1/01/2013,110.1,166.2
1/02/2013,147.5,132.6
1/03/2013,19.5,26.2
1/04/2013,0.1,4.9
1/05/2013,9.6,7.4
1/06/2013,2.3,7
1/07/2013,3,1.9
1/08/2013,8.8,11.1
1/09/2013,5.5,3.9
1/10/2013,32.6,35.8
1/11/2013,31.9,28.1
1/12/2013,100,114.8
1/01/2014,176.7,134.2
1/02/2014,95.6,116.8
1/03/2014,35.2,20.1
1/04/2014,13.2,31.3
1/05/2014,3.8,10.3
1/06/2014,0,3.4
1/07/2014,0,2.3
1/08/2014,5.9,4.6
1/09/2014,5,14
1/10/2014,73.1,71.7
1/11/2014,32.2,30.9
1/12/2014,50.9,47
1/01/2015,120.9,157.4
1/02/2015,74,94
1/03/2015,88.2,65.4
1/04/2015,48.5,45.6
1/05/2015,0.6,10.8
1/06/2015,0,2.1
1/07/2015,0,3.3
1/08/2015,5.8,6.6
1/09/2015,11.9,10.5
1/10/2015,52.1,56.9
1/11/2015,27.2,56.1
1/12/2015,32.2,63.5
